,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27,24.2
123,22,33,54,79,116,158,207,252,317,359,417,464,520,572,621,672,716,754,787,815,838,857,873,885
124,25,34,53,79,115,156,207,254,318,358,418,463,521,571,619,673,715,753,788,816,837,858,871,884
125,25,36,53,78,117,158,206,255,319,358,418,465,518,570,622,675,714,752,789,815,836,857,873,884
126,24,34,53,81,115,158,206,254,318,360,419,467,518,570,622,674,713,752,788,815,835,855,873,885
127,24,36,54,79,116,158,206,253,318,360,418,466,519,569,623,672,715,752,786,817,836,855,874,885
128,24,33,54,81,116,159,206,254,318,358,417,465,521,571,622,673,717,754,787,817,838,855,873,884
129,24,34,52,78,115,158,206,256,318,358,418,465,520,572,621,673,716,753,787,816,836,857,872,886
130,24,33,53,79,115,158,206,255,319,359,418,466,520,569,621,673,715,752,789,815,836,857,872,883
131,24,35,53,79,116,157,207,252,318,360,418,466,518,569,622,674,715,751,788,815,836,856,874,884
132,24,34,53,79,117,158,206,254,317,359,418,465,518,568,622,673,713,752,787,817,835,856,875,886
133,23,36,54,79,117,158,206,254,318,358,417,464,520,570,622,672,716,753,787,816,837,855,875,886
134,25,34,53,80,115,158,206,254,319,359,418,466,520,571,621,673,716,753,787,815,838,857,874,884
135,24,36,52,79,115,157,206,253,319,360,419,466,520,569,622,674,714,752,788,816,835,857,872,883
136,24,33,53,81,117,159,207,254,318,359,418,467,518,569,623,674,714,752,787,815,836,856,873,884
137,24,36,53,79,116,158,205,255,317,358,416,464,519,570,623,674,714,752,787,816,834,857,873,883
138,25,33,53,81,114,158,207,254,318,359,416,465,520,571,622,672,714,753,787,817,836,855,874,885
139,24,36,52,78,117,156,206,252,318,359,418,467,520,572,620,672,716,754,787,817,838,855,874,886
140,24,33,54,80,116,158,206,253,317,360,419,465,519,569,621,674,714,753,788,815,837,857,871,884
141,24,35,53,78,116,159,206,256,317,359,418,465,517,569,623,674,714,752,790,815,836,857,874,883
142,24,34,54,79,115,158,207,254,317,358,418,464,519,571,622,673,714,751,789,816,835,855,873,884
143,24,35,53,79,116,157,206,253,319,359,418,465,521,571,622,672,715,753,786,816,835,855,874,885
144,24,33,53,79,117,160,206,254,319,360,419,467,520,571,620,672,717,754,788,815,838,855,874,885
145,23,35,52,79,114,158,205,256,317,360,419,466,519,570,622,674,714,753,787,815,837,857,873,884
146,24,33,54,79,115,158,207,255,318,359,415,466,518,569,622,674,715,753,788,815,836,857,872,882
147,23,35,54,79,116,157,205,253,318,359,417,466,519,571,622,673,715,752,788,816,835,856,872,883
148,24,34,53,80,115,158,207,253,318,360,417,465,521,570,622,673,714,752,786,816,836,856,874,885
149,24,35,54,79,116,159,206,255,316,360,419,465,518,570,621,673,716,755,788,817,837,855,874,885
150,25,33,53,81,115,156,207,255,318,359,419,466,518,571,621,673,715,753,787,816,838,857,874,885
151,25,35,54,79,115,159,207,254,319,358,417,466,519,569,622,675,715,753,788,813,836,858,873,884
152,24,34,53,80,117,158,206,254,320,358,418,465,520,570,623,674,714,752,790,814,837,856,873,883
153,24,35,52,79,114,158,205,254,318,360,419,465,521,571,623,673,714,752,787,815,835,857,873,883
154,25,32,53,80,117,158,207,256,318,360,418,466,520,571,621,672,715,754,786,816,837,855,874,883
155,23,34,52,80,115,158,206,252,319,357,417,466,519,571,621,672,716,754,786,817,837,855,874,885
156,24,33,53,80,116,158,206,253,320,359,416,465,520,568,622,675,715,753,787,815,837,857,873,884
157,23,35,54,79,116,158,205,256,318,359,418,464,518,569,624,674,714,752,790,815,837,857,873,884
158,25,35,53,79,115,158,206,255,317,360,419,466,520,570,622,673,715,751,787,816,836,857,873,883
159,23,34,53,79,115,159,207,253,319,358,417,466,520,571,621,672,715,753,787,816,835,856,875,883
160,23,33,53,80,116,159,206,253,320,358,416,467,520,571,620,673,716,754,786,817,836,855,876,886
161,23,34,54,79,115,157,205,254,319,359,417,465,519,569,621,674,714,753,787,814,837,857,873,885
162,25,35,54,79,116,159,207,256,318,361,419,465,520,570,623,674,712,751,789,816,836,859,873,883
163,25,35,54,79,115,158,207,254,317,358,419,467,520,572,622,672,713,752,789,816,836,856,873,881
